,コード,銘柄名
146,1577,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信
147,1578,上場インデックスファンド日経２２５（ミニ）
148,1579,日経平均ブル２倍上場投信
149,1580,日経平均ベア上場投信
150,1585,ダイワ上場投信・ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ
151,1586,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ
152,1591,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信
153,1592,上場インデックスファンドＪＰＸ日経インデックス４００
154,1593,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信
155,1595,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数
156,1596,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ
157,1597,ＭＡＸＩＳ　Ｊリート上場投信
158,1599,ダイワ上場投信－ＪＰＸ日経４００
159,1605,ＩＮＰＥＸ
160,1615,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信
161,1617,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信
162,1618,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信
163,1619,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信
164,1620,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ－１７）上場投信
165,1621,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信
166,1622,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ－１７）上場投信
167,1623,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰＩＸ－１７）上場投信
168,1624,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－１７）上場投信
169,1625,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰＩＸ－１７）上場投信
170,1626,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ－１７）上場投信
171,1627,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ－１７）上場投信
172,1628,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ－１７）上場投信
173,1629,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ－１７）上場投信
174,1630,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－１７）上場投信
175,1631,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－１７）上場投信
176,1632,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信
177,1633,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ－１７）上場投信
178,1651,ダイワ上場投信－ＴＯＰＩＸ高配当４０指数
179,1652,ダイワ上場投信－ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）
180,1653,ダイワ上場投信－ＭＳＣＩジャパンＥＳＧセレクト・リーダーズ指数
181,1654,ダイワ上場投信－ＦＴＳＥ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ
182,1655,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ
183,1656,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ
184,1657,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）　ＥＴＦ
185,1658,ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ
186,1659,ｉシェアーズ　米国リート　ＥＴＦ
187,1660,ＭＡＸＩＳ高利回りＪリート上場投信
188,1662,石油資源開発
189,1663,Ｋ＆Ｏエナジーグループ
190,1671,ＷＴＩ原油価格連動型上場投信
191,1672,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託
192,1673,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託
193,1674,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託
194,1675,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託
195,1676,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託
196,1677,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型
197,1678,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０連動型上場投信
198,1679,Ｓｉｍｐｌｅ－Ｘ　ＮＹダウ・ジョーンズ・インデックス上場投信
199,1680,上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）
200,1681,上場インデックスファンド海外新興国株式（ＭＳＣＩエマージング）
201,1682,ＮＥＸＴ　ＦＵＮＤＳ　日経・ＪＰＸ白金指数連動型上場投信
202,1684,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託
203,1685,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託
204,1686,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託
205,1687,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託
206,1688,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託
207,1689,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託
208,1690,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投資信託
209,1691,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信託
210,1692,ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投資信託
211,1693,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託
212,1694,ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投資信託
213,1695,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託
214,1696,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託
215,1697,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託
216,1698,上場インデックスファンド日本高配当（東証配当フォーカス１００）
217,1699,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ原油インデックス連動型上場投信
218,1711,ＳＤＳホールディングス
219,1712,ダイセキ環境ソリューション
220,1716,第一カッター興業
221,1717,明豊ファシリティワークス
222,1718,美樹工業
223,1719,安藤・間
224,1720,東急建設
225,1721,コムシスホールディングス
226,1723,日本電技
227,1724,シンクレイヤ
228,1726,ビーアールホールディングス
229,1730,麻生フオームクリート
230,1736,オーテック
231,1739,メルディアＤＣ
232,1743,コーアツ工業
233,1757,中小企業ホールディングス
234,1758,太洋基礎工業
235,1762,高松コンストラクショングループ
236,1764,工藤建設
237,1766,東建コーポレーション
238,1768,ソネック
239,1770,藤田エンジニアリング
240,1773,ワイ・ティー・エル・コーポレーション・バーハッド
241,1775,富士古河Ｅ＆Ｃ
242,1776,三井住建道路
243,1780,ヤマウラ
244,1783,アジアゲートホールディングス
245,1786,オリエンタル白石
246,1787,ナカボーテック
247,1788,三東工業社
248,1789,ＥＴＳホールディングス
249,1793,大本組
250,1795,マサル
251,1798,守谷商会
252,1799,第一建設工業
253,1801,大成建設
254,1802,大林組
255,1803,清水建設
256,1805,飛島建設
257,1807,佐藤渡辺
258,1808,長谷工コーポレーション
259,1810,松井建設
260,1811,錢高組
261,1812,鹿島建設
262,1813,不動テトラ
263,1814,大末建設
264,1815,鉄建建設
265,1820,西松建設
266,1821,三井住友建設
267,1822,大豊建設
268,1826,佐田建設
269,1827,ナカノフドー建設
270,1828,田辺工業
271,1833,奥村組
272,1835,東鉄工業
273,1840,土屋ホールディングス
274,1841,サンユー建設
275,1844,大盛工業
276,1847,イチケン
277,1848,富士ピー・エス
278,1850,南海辰村建設
279,1852,淺沼組
280,1853,森組
281,1860,戸田建設
282,1861,熊谷組
283,1866,北野建設
284,1867,植木組
285,1870,矢作建設工業
286,1871,ピーエス三菱
287,1873,日本ハウスホールディングス
288,1878,大東建託
289,1879,新日本建設
